code,name,price,psr,field
000001,上证指数,2919.8,1788.8449013673019,HS300_ MSCI中国 广东板块 融资融券 深成500 深股通 深证100R 深圳特区 银行 证金持股
000002,A股指数,3059.5,1095.6428191786154,AH股 HS300_ MSCI中国 房地产 股权激励 股权转让 广东板块 举牌概念 融资融券 深成500 深股通 深证100R 深圳特区 央视50_ 证金持股 租售同权
000003,B股指数,290.95,1227.807468157058,--
000004,工业指数,2377.05,2640.332774734832,广东板块 举牌概念 深圳特区 医药制造
000005,商业指数,2781.63,19371.432361736843,充电桩 创投 广东板块 环保工程 深圳特区
000006,地产指数,6736.6,18751.291375257733,房地产 股权激励 广东板块 国企改革 融资融券 深成500 深股通 深圳特区 粤港自贸 中证500
000007,公用指数,5030.2,162887.6817587019,房地产 广东板块 举牌概念 深圳特区 稀缺资源
000008,综合指数,2665.91,35949.34735463158,北京板块 股权激励 股权转让 交运设备 深成500 深股通 深圳特区 铁路基建 新三板 中证500
000009,上证380,4809.19,5084.411451328087,2025规划 超级电容 创投 房地产 股权激励 广东板块 军工 融资融券 深成500 深股通 深证100R 深圳特区 石墨烯 土地流转 新能源 新三板 中证500 中字头 锂电池
000010,上证180,7869.35,79662.80868432198,PPP模式 参股期货 广东板块 园林工程
000011,基金指数,5893.01,6456.086022226103,AB股 房地产 广东板块 国企改革 深股通 深圳特区 粤港自贸 租售同权
000012,国债指数,164.97,155.8804918505135,AB股 玻璃陶瓷 触摸屏 股权激励 广东板块 举牌概念 融资融券 深成500 深股通 深圳特区 太阳能 新能源 粤港自贸 中证500
000013,企债指数,218.14,0,--
000015,红利指数,2746.68,25093.05793227428,--
000016,上证50,2602.65,806.25744182555,AB股 QFII重仓 广东板块 家电行业 深股通 深圳特区
000017,新综指,2466.54,54984.31842873258,AB股 共享经济 广东板块 深圳特区 文教休闲 智能家居
000018,180金融,4757.48,8753.37662253521,AB股 PPP模式 广东板块 深成500 深股通 深圳特区 雄安新区 装修装饰
